性別,年齢,職業,予約,施術,口コミ,店名
女性,30代前半,会社員,カット＋デジタルパーマ＋クイックトリートメント カット、パーマ、トリートメント,カット、パーマ、トリートメント,毎回可愛くしていただきありがとうございます。スタッフさんの対応もとても良く安心してお任せすることができます。また次回もよろしくお願い致します。,F店
女性,40代,,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,個室で完結するのでゆっくり過ごせるし、気さくなスタッフさんがマンツーマンで担当してくださるので安心です。ですが、、翌日に気づきました。後ろにしても前にしてもガタガタで、分け目を変えたり色々やってみたけどダメでした。どんなデザインだったのか教えて欲しかったです。ロングだし、大したオーダーもしていないと思うのですが、後ろのちょうど真ん中が幅5cmくらい、長さ2cmくらい長く、横は何ヶ所か束で短いところがあって、結んでもガタガタが分かる感じで…結局、日程の都合も合わず他店へ駆け込みました。素敵に仕上げてもらったのでいいのですが、こんなことなら返金して欲しいくらいです。安心して使える美容院で、自宅からも近く、いいところを見つけたと思っていたので残念です。,F店
未設定,20代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,いつも可愛い髪型にしてくれてありがとうございます！！,F店
女性,50代,会社員,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,ありがとうございました。また、,F店
女性,40代,パート・アルバイト,カット＋ダブルカラー（ケアブリーチ）＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,いつも通わせて頂いています。半個室になっているのでとてもリラックスして受けられます。スタイリストさんとの会話もとても楽しいですw毎回何色にするかを細かく聞いてくれて髪質や色持ちなども考えて施術してくれます。今回もとても良い感じになりました。また行かせて頂きます。,F店
女性,60代,主婦,カット・オキシロンカラー・トリートメント カット、カラー,カット、カラー,初めてのサロンで、上手く伝わるか多少の不安はありましたが、とても気さくに会話して頂きカラーのことも教えて頂きました。また来月お願いしたいです。ありがとうございました。,F店
女性,30代前半,その他,カット＋コスメパーマ＋クイックトリートメント カット、パーマ、トリートメント,カット、パーマ、トリートメント,何度も利用させていただいています。ほぼ個室で他の客も気にならず、とてもゆっくりと過ごせます。施術の方も、傷んでいた髪を丁寧に切っていただきました。またお願いしたいと思います。,F店
女性,60代,会社員,カット＋カラー＋資生堂サブリミック酸熱トリートメント【髪質改善】 カット、カラー、トリートメント,カット、カラー、トリートメント,本日はありがとうございました。初めて伺ったのですが、半個室になっていて、移動せず全て座ったまま、施術していただけるので、転ぶ心配もなくよかったです。個室ではなく、周りの様子がわかる事で、緊張せずリラックスできました。丁寧にカウンセリングしていただき、縮毛矯正、カラーに対する考え方が180度変わりました。ツルツル、ピカピカの髪を目指す事ができるかもという希望が見えました。今後ともよろしくお願いします。,F店
女性,20代前半,,カット+資生堂サブリミック酸熱トリートメント【髪質改善】 カット、トリートメント,カット、トリートメント,いつもありがとうございます！今回はカットとトリートメントありがとうございました！乾燥プラス花粉で髪の毛がギシギシでしたが、トリートメント後は艶々で嬉しかったです！！！シャンプーとトリートメントも購入出来て嬉しかったです！！！さっそく使ってますが髪の毛がとてもいい感じにまとまります！次はカラーもよろしくお願いします！,F店
女性,30代前半,,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,担当の方の雰囲気もお店の雰囲気も落ち着いた優しい雰囲気で、楽しくリラックスしてスタッフさんとお話ししてる間にあっという間にカットして頂き、出来あがりも素敵でした！ありがとうございました。,F店
女性,60代,,☆カット＋カラー＋ハホニコトリートメント　12900→9900 カット、カラー、トリートメント,カット、カラー、トリートメント,今回、傷みが少なくサラサラになりました。ありがとうございました。,F店
女性,50代,自営業,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,施術中のお話も楽しく、リラックスしてお願いできました。洗髪後に待たされないのはいいです。それが当たり前かもしれませんが、大型店舗だと人員配置の都合でか、濡れた状態で長らく放置とかありましたから…。,F店
女性,30代後半,パート・アルバイト,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→9900 カット、カラー、トリートメント,"13900→9900
[施術メニュー]",毎月の楽しみ&変身する姿に感動してます。もう他は行けない程髪の状態やトークも楽しくてあっというまです！今後ともよろしくお願い致します。,F店
女性,20代後半,会社員,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,担当さん、お名前間違ってたらすみません…！初めて伺いました！個室の美容室も初めてで、移動せずに全て席で完結することにまずビックリしました！カットも、カラーも、ふんわりとしたイメージしか伝えられませんでしたが、とってもいい仕上がりにしてもらって大満足です！また次回もお願いしたいです！元々口コミ書くつもりなかったのですが、大満足したので書きたくなってしまいました笑またお願いします！,F店
女性,30代後半,,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,雰囲気の良いお店でリラックスして過ごす事ができました。席移動せずにシャンプーが出来て驚きでした。ヘアオイルの付け方とても参考になりました、毎朝実践してみます！またお世話になります。,F店
男性,40代,パート・アルバイト,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,思ったとおりに仕上げてもらえました。自分は満足しております！,F店
女性,50代,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,２回目の利用でした。前回よりもさらに短いベリーショートを希望し、私は毛量も多く硬い髪質なので少し不安でしたが、すっきりと形よく切っていただき満足しています。ありがとうございました。,F店
女性,10代後半,学生,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,こちらのお店は初めてでしたがすごく気さくに話してくださり、緊張せず楽しく過ごせました！また、個室だったので悩みも言いやすく似合う髪型やアレンジも丁寧に教えてもらえました。今までやったことがない短さだったので友達の反応が不安でしたが、みんなに似合ってるよーと言ってもらえて大満足です!!同じ部活の男子も言ってくれて本当に似合ってるんだなと実感してます。本当にありがとうございました！伸びてきたらまたお願いします(*´-`),F店
女性,30代後半,主婦,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,初めてお世話になりました。前回 家の近所の他店で縮毛矯正をかけた時にすぐにうねうねになってしまったので不安でしたが、仕上がりすぐの触り心地がサラサラで、きっと大丈夫だと思い不安が無くなりました(^-^)お喋りが苦手なのですが、施術中はお店のタブレットで動画（NetflixやHulu）を見れたりするので 自分の好きなように過ごせるのがとても居心地がいいなと思いました。またお世話になりたいと思います！,F店
男性,30代前半,会社員,メンズカット＋シャンプー＋ブロー カット,カット,こちらの要望を丁寧に聞きながら、カットの方針をきちんと説明して下さって、気に入った仕上がりになりました。ありがとうございました！,F店
女性,20代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,5日前に行った美容室でメンテナンスカットのはずが乾かすとガタガタになっており、お直しカットをお願いさせていただきました。できるだけ短くしないでほしいというお願いを叶えていただき、綺麗に揃えていただき大変助かりました。難しいお願いをしてしまい申し訳なかったです。。本当にありがとうございました。,F店
女性,50代,その他,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,毎回行く度に納得のいく仕上がりにしていただくので大満足です！今後とも宜しくお願いします！,F店
女性,30代前半,,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,都度確認をしながら切っていただき、ありがたかったです。ありがとうございました！,F店
女性,50代,会社員,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→9900 カット、カラー、トリートメント,"13900→9900
[施術メニュー]",丁寧な施術で大変良かったです。今回前髪の量について相談させていただきました。時間が経ちましたが、キープできており良かったです。分け方が異なるのか、時々長い髪が混じります。次回また相談させてください。よろしくお願いします。,F店
女性,50代,主婦,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→9900 カット、カラー、トリートメント,"13900→9900
[施術メニュー]",私の髪の悩みや要望を伝えるとアイデアを出してくださいました。結局、,F店
男性,30代前半,会社員,メンズカット＋シャンプー＋ブロー カット,カット,初めての来店でしたが、丁寧な対応でこちらの要望通りに仕上げて頂きました。,F店
女性,20代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,完全個室で落ち着く雰囲気で、カットもイメージ通りの仕上がりにしていただいて大満足です！またお願いします(о´∀`о),F店
女性,20代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,快適空間でした！またよろしくお願いします！,F店
女性,30代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,個室で落ち着いて過ごすことができて快適でした！ヘアスタイルも満足ですし、ヘアケア方法も教えていただいて助かりました。ありがとうございました。,F店
女性,50代,主婦,☆カット＋カラー＋ハホニコトリートメント　12900→9900 カット、カラー、トリートメント,カット、カラー、トリートメント,思った通りの髪型と色合いで大満足です！白髪頭から脱出出来て、気分もウキウキです^_^また、よろしくお願いします！,F店
女性,40代,会社員,☆カット＋カラー＋ハホニコトリートメント　12900→9900 カット、カラー、トリートメント,カット、カラー、トリートメント,オキシロンカラー、調子いいです。いつも綺麗に仕上げてくださって、とても満足してます。またお願いします。,F店
女性,40代,会社員,カット+資生堂サブリミック酸熱トリートメント【髪質改善】 カット、トリートメント,カット、トリートメント,いつも話しやすい雰囲気を作ってくれるので施術が終わるまでがあっという間です。個室で髪を洗う時も席を立たなくて良いのが嬉しいです。またよろしくお願いします。,F店
女性,40代,パート・アルバイト,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,シャンプーが気持ち良かった！カットだけのオーダーなのに頭部と肩のマッサージもしっかりしてくれるし、夜だからヘアオイル付けて終わりかなと思ったらヘアセットまでしっかりしてくれました。移動式のシャンプー台でその場でシャンプーができる仕様でとても楽ですし、半個室の様な造りで他のお客さんと交わることもないのでとても気楽に過ごせますし、本当に言う事なしです！(お店の回し者ではないです笑)また伺います！,F店
未設定,20代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,いつも楽しいカットの時間ありがとうございます！めちゃくちゃ細かい注文も笑顔で対応してくれます！いつもナイスカットです！！ありがとうございます！また、よろしくお願いいたします！,F店
男性,20代後半,会社員,☆カット＋イルミナカラー＋TOKIOトリートメント　15900→12900 カット、カラー、トリートメント,カット、カラー、トリートメント,カットもカラーも思い通りにしてくださり満足しています！次回も宜しくお願い致します！,F店
女性,30代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,今日も楽しく過ごせ、施術も満足です。今後もよろしくお願いいたします。,F店
女性,40代,会社員,カット・オキシロンカラー・トリートメント カット、カラー,カット、カラー,前髪をつくり、放置しすぎた髪をかっとし10日ほどたちました。スタイリングを教えてもらったので実践してます。だいぶ慣れたのか、イイ感じでまとまります。また、お願いしたいと思います。,F店
女性,40代,,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,今回も綺麗に仕上げてくださってありがとうございます。個室のような場所で落ち着いて過ごすことができ、仕上がりも希望通りにしてくださいます。縮毛もカットもとても満足でした。次回は春を意識した髪型にしたいなぁって考えています。またよろしくお願いします。,F店
女性,50代,,クーポン利用なし カラー、トリートメント、その他,カラー、トリートメント、その他,マスク無しで、カラーしてもらいました。生え際、しっかり染まりました。,F店
女性,50代,主婦,カット+資生堂サブリミック酸熱トリートメント【髪質改善】 カット、トリートメント,カット、トリートメント,ほぼ毎月カットでお願いしています。今回は加齢や乾燥、ハイライトによるダメージを少しでもよくするために髪質改善施術していただきました。とてもしっとり仕上がりました。半個室はリラックス出来てとても心地よいですね。,F店
女性,20代後半,会社員,資生堂サブリミック酸熱トリートメント【髪質改善】 トリートメント,トリートメント,髪質がかなり改善されて嬉しいです。,F店
女性,60代,,クーポン利用なし パーマ、トリートメント,パーマ、トリートメント,急なリクエストにも応えていただきありがとうございました。ヘアスタイルもスタイリングが簡単でストレスフリーで助かっています。,F店
女性,30代前半,,☆カット＋カラー＋TOKIOトリートメント　13900→10900 カット、カラー、トリートメント,カット、カラー、トリートメント,最初のカウンセリングから丁寧で希望に沿っていただけて最後の仕上がりだけでなく、カットの途中で後ろ髪の長さの確認もしていただけて、安心できました。長さもカラーも毛先の整い方も全てに満足の仕上がりでした。またよろしくお願いします！,F店
女性,50代,,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,初めて伺いました。半個室で周りを気にせずにいられて、シャンプーから会計まで一つの席でできるので楽でした。最初のカウンセリングも、イメージを画像を見ながらしっかり聞いてくれて、希望に近いスタイルにしていただきました。ありがとうございました。,F店
女性,60代,会社員,☆カット＋カラー＋ハホニコトリートメント　12900→9900 カット、カラー、トリートメント,カット、カラー、トリートメント,綺麗にサラサラヘアになり、白髪も綺麗染まって良かったです。ありがとうございます。,F店
女性,40代,会社員,カット＋カラー＋コスメパーマ＋クイックトリートメント カット、カラー、パーマ、トリートメント,カット、カラー、パーマ、トリートメント,個室から動くことがなく、一人の担当の方が担当してくださったので、とても早く施術が終わった気がします。拙い説明でもよく聞いてもらい、要望どおりになりました。是非またお願いしたいです。,F店
女性,30代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,要望に合わせてカットしていただき、髪が軽くなりました。ありがとうございました！,F店
女性,20代後半,パート・アルバイト,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,初めて来店しました。次回も宜しくお願い致します！,F店
女性,60代,パート・アルバイト,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,丁寧な　カットと楽しい会話をありがとうございます。また　行きたいと思わせる美容室です。また　よろしくお願いします。,F店
女性,40代,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,個室風ブースになっていてシャンプー・カット・お会計と全く移動なく同じ席で完結するのが新鮮でした。こちらの日時の都合で初回とは違う方にお願いしましたが、カットも雰囲気も満足しています。,F店
女性,40代,会社員,カット＋世界特許オイルカラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,初めてでしたので、緊張しましたが、希望がうまく説明出来なかったにも関わらず、希望どおりのスタイルに仕上げていただいて、感激しております。白髪染めの途中で、櫛でとかしたのは、初めてでした。シャンプーのあとのマッサージ最高でした。また、絶対行きます。,F店
女性,50代,パート・アルバイト,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,先日はお世話になりました。髪型も長さも決まっていなかったのですがアドバイスをいただきとてもいい感じに仕上げてくださいました。大満足です！また次回お願いします！,F店
女性,20代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,墨田区に引っ越してからこちらでお世話になっております。半個室になっており、シャンプーの際も移動せずそのままシャンプーしてくれるため、他のお客さんと顔を合わさなくていい所がうれしいです。また利用しようと思います。,F店
女性,30代後半,,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,1人のスタッフの方が丁寧に最後までやってくれました。半個室で移動なしなので楽でした。また利用させていただきたいです。,F店
女性,50代,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,2回目の利用です前回と違う担当者さんにやっていただきました今回の担当者さんも非常に明るく話しやすかったです髪質が弱いので今後も相談にのってもらえたらと思います,F店
女性,50代,会社員,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,いつも丁寧な施術をしてくれます。今回は施術中に試験勉強をさせて頂きましたが、疲れた時は会話もしてくださるし、眠い時はそっとしてくれます。いつもありがとうございます。,F店
女性,50代,パート・アルバイト,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,いつもお世話になっております！すべてをお任せできるスタッフの皆さん、すごいです＼(^-^)／今回も仕上がり大満足♪また、よろしくお願いいたしますm(_ _)m,F店
女性,30代後半,会社員,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,完全個室で周りを気にせずに居られるのでとても良かったです。自分にあったメニューに変更してくださったり、丁寧に対応いただけて嬉しかったです。また行きたいと思います。,F店
女性,50代,その他,カット＋カラー＋縮毛矯正＋クイックトリートメント カット、カラー、縮毛矯正、トリートメント,カット、カラー、縮毛矯正、トリートメント,色々とアドバイスをいただきました。仕上がりも満足です。,F店
男性,30代後半,会社員,メンズカット＋シャンプー＋ブロー カット,カット,大変気持ちよくサービスを受けられました。シャンプーで移動することもなく、リラックスできます。仕上がりも満足です!!またよろしくお願いいたします,F店
女性,40代,会社員,☆カット＋イルミナカラー＋TOKIOトリートメント　15900→12900 カット、カラー、トリートメント,カット、カラー、トリートメント,いつもお世話になっています今回も自分好みのカラーと本当にトゥルントゥルンになって最高に嬉しかったですやはり他のお客を気にしなくていい個室がとても居心地が良いですし、お会計まで動かなくて良いとこもめちゃくちゃイイです担当の方は気さくな方で話しやすいですし、私の要望を叶えてくれますし、この美容院に来始めてから結構経つので信頼もしていますので何も気負わず全てお任せ出来ているので有難いです,F店
女性,50代,パート・アルバイト,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,個室のように仕切りがあり、支払いまで座ったまま完結するのでとても楽でした。カットもイメージ通りに手早く丁寧に仕上げていただきありがとうございました。,F店
女性,40代,会社員,カット・オキシロンカラー・トリートメント カット、カラー,カット、カラー,完全個室型で一度座ったらお会計までそのまま完結するところが他にはない特長で、安心してゆったり過ごせるお店です。カットやカラーもいつも丁寧に対応していただき、仕上がりに満足しています。シャンプーのお湯の温度の話などケアの話も聞けて、お話が楽しかったです。またよろしくお願いいたします。,F店
女性,30代後半,パート・アルバイト,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→9900 カット、カラー、トリートメント,"13900→9900
[施術メニュー]",完全個室でシャンプーですら最初に座った席でやってもらえるのはとても楽でした。わがままな要望にも丁寧に答えてもらえ、バランスの取れた案を出してくださったので満足しています。また来店したいと思います。,F店
女性,40代,会社員,カット＋ファイバープレックスカラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,２度目の来店です。前回のカラーが思っていたより暗めだったので少し明るく、とリクエストしました。雰囲気が変わって気分も明るくなり気持ちよく年末年始を過ごせました！！前回、頭皮が染みるとお伝えしたところ丁寧に薬剤を塗ってくださり全く染みずに感動したのですが、今回は特にお伝えしなかったところとてもヒリヒリしたので毎回きちんと伝えようと思いました。とはいえ、綺麗に仕上げていただき、お話も楽しくあっという間でした。ありがとうございました！またよろしくお願いいたします。,F店
女性,30代後半,その他,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,今回はカットのみでしたが、色々と髪の状態を気にかけてくださり、最後にはアイロンをあててワックスでスタイリングを丁寧に施してくれました。とても有難かったです。いつも１つ１つの工程が丁寧で安心できます。引っ越しで亀戸まで遠くなってしまいますが、それでも通いたいと思います。,F店
女性,20代前半,,カット＋カラー＋資生堂サブリミック酸熱トリートメント【髪質改善】 カット、カラー、トリートメント,カット、カラー、トリートメント,カラーはいつもより暗めに染めていただきましたがとても艶のある良い色味で大満足でした！周りの方からもとても評判が良いです！！ありがとうございました！！！トリートメントも継続することで髪の毛が元気に綺麗になっていってる気がしてます！！！またお願い致します！！！,F店
女性,40代,会社員,カット＋カラー＋資生堂サブリミック酸熱トリートメント【髪質改善】 カット、カラー、トリートメント,カット、カラー、トリートメント,何年もお世話になってます。毎回カラーもカットも私のイメージの120%で仕上げて頂いており、大変満足してます。次回も宜しくお願いします。,F店
男性,30代前半,会社員,メンズカット＋シャンプー＋ブロー カット,カット,髪型の要望に丁寧に答えていただいており、有難く思っています。人柄も柔らかく、カットの間も楽しく過ごせるのが通い続けている理由の1つです,F店
女性,50代,主婦,カット＋カラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,自分の思ってた髪型になり大満足です！ありがとうございました。,F店
女性,40代,主婦,クーポン利用なし カラー,カラー,いつも通りの仕上がりに満足です。カラーリングしても、ダメージが少なく、ツヤ感が出るところが有り難いです。,F店
女性,30代前半,会社員,クーポン利用なし カット、パーマ,カット、パーマ,いつも綺麗に仕上げていただき、満足しました！また利用させて頂きます！,F店
女性,50代,主婦,カット＋カラー＋縮毛矯正＋クイックトリートメント カット、カラー、縮毛矯正、トリートメント,カット、カラー、縮毛矯正、トリートメント,今回、雨で初めてバスを使って伺いました。何回も伺っているのに…結局電話で道案内していただきました。本当にありがとうございました。いつも通り、パサパサだった髪もしっとり指通りも良くなり大満足です。また来年もよろしくお願いします。,F店
女性,20代後半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,前髪を作ってもらったのと後ろの髪を整えてもらいました。半個室のため、ゆったりと施術を受けられてよかったです。仕上がりも良かったです。,F店
女性,40代,パート・アルバイト,☆カット＋イルミナカラー＋TOKIOトリートメント　15900→12900 カット、カラー、トリートメント,カット、カラー、トリートメント,いつも丁寧に仕上げていただきありがとうございます！セットしやすくてとても楽です。,F店
女性,30代前半,,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→9900 カット、カラー、トリートメント,"13900→9900
[施術メニュー]",2度利用させて頂きましたがどちらの方も丁寧で綺麗な仕上がりで大満足でした。個室なので移動なども無く周りの目も気にならず快適でした。,F店
女性,50代,会社員,カット＋カラー＋資生堂サブリミック酸熱トリートメント【髪質改善】 カット、カラー、トリートメント,カット、カラー、トリートメント,カット、カラー、トリートメントをしました。仕上がりも希望どおりで大満足です。,F店
女性,20代前半,会社員,カット＋デジタルパーマ＋クイックトリートメント カット、パーマ、トリートメント,カット、パーマ、トリートメント,今回もありがとうございました！久しぶりにパーマをあてましたが思い通りのかわいいゆるふわパーマにして頂いて大大満足です！いまも乾かし方しだいでいい感じになります！！！おろしていても結んでいてもかわいいです！！！また次回もよろしくお願い致します！カラーするのとても楽しみにしてます！！！,F店
女性,30代後半,主婦,カット＋世界特許オイルカラー＋クイックトリートメント カット、カラー、トリートメント,カット、カラー、トリートメント,初めて来店した時に似合わせデザインカットをお願いしましたが、人生で一番似合っているのでは？と自分でも感じる程満足のいく髪型にしていただいた以来、ずっとお世話になっています。カットもカラーもいつも綺麗に希望通りに仕上げてくれます。お店も完全個室でリラックスできます。,F店
女性,50代,パート・アルバイト,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,いつもありがとうございます！お店の雰囲気、スタッフの皆さんの対応…そしてすべてお任せできる安心感♪またよろしくお願いいたします(^^),F店
女性,40代,,カット・オキシロンカラー・トリートメント カット、カラー,カット、カラー,シャンプーの際首が痛くなりやすくて苦手なのですが、今回優しく対応して頂き、マッサージまでやってくれ、気持ち的にも楽になりました。ご担当者のお名前を聞きそびれましたが、ぜひまたいらっしゃる時にお世話になりたいです。,F店
女性,30代前半,,カット＋コスメパーマ＋クイックトリートメント カット、パーマ、トリートメント,カット、パーマ、トリートメント,個室になっていて周りを気にしないため、何度もお世話になっております。今回久しぶりの施術でした。施術中の会話は楽しく、パーマ中は一人の時間を過ごせ、とても満足して過ごすことができました。,F店
女性,40代,会社員,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,何回か通っています。個室で周りを気にすることなく雰囲気はとても良いです。今回は縮毛矯正とカットでお願いしました。カットはバッサリと切っていただき、楽ちんで満足しています。また次回もお伺いしたいと思いますのでよろしくお願いします。,F店
女性,50代,会社員,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,細かいカウンセリングをしてくださり、迷ってる気持ちの後押しもしてくださいます。いつも思いどおりの満足の仕上がりです。,F店
女性,20代後半,主婦,クーポン利用なし カット、カラー,カット、カラー,2回目利用で初めてハイライトとカットをお願いしました。色々と注文をしてしまって長い時間お願いしたのですが、嫌な顔せず気を遣っていただいてとても居心地が良かったです。仕上がりも今までピンクに染めても上手く染まらない事が多かったのですが、初めてこんなにいい色にしていただいて大満足でした！また次回もお願いしたいです。ありがとうございました！,F店
女性,60代,,カット+資生堂サブリミック酸熱トリートメント【髪質改善】 カット、トリートメント,カット、トリートメント,２回目の利用です。クーポンで、カット+資生堂サブリミック酸熱トリートメント【髪質改善】の施術をしていただきました。シャンプーがミント系のハーブの香りで、それだけでも癒やされました。カット、トリートメントの間も気持ち良くて、何度もうたた寝をしてしまいました。仕上がった髪の手触りがしっとり柔らかで、大変満足です。,F店
女性,30代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,今回も、とてもよかったです。仕上がり満足です。,F店
女性,60代,会社員,☆カット＋カラー＋ハホニコトリートメント　12900→8900 カット、カラー、トリートメント,カット、カラー、トリートメント,前回、髪が軋む感じがありましたが、昨日カラーとトリートメント終わってサラサラヘアに戻ります。ありがとうございました。,F店
女性,50代,その他,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→8900 カット、カラー、トリートメント,"13900→8900
[施術メニュー]",初めての個室美容室で、落ち着いて、ゆっくり、癒されました。スタイリストさんは、ゆっくりと丁寧にわたしの希望にあうように素敵にしてくださいました。まら帰国する時にはぜひまたお願いします。,F店
女性,40代,,平日限定☆カット＋カラー＋TOKIOトリートメント 13900→8900 カット、カラー、トリートメント,"13900→8900
[施術メニュー]",ほとんど眠って過ごしたほど居心地抜群です。カットもカラーも希望を汲んでくださり良かったです。,F店
女性,50代,,☆カット＋カラー＋ハホニコトリートメント　12900→8900 カット、カラー、トリートメント,カット、カラー、トリートメント,落ち着いた雰囲気のお店でとても感じが良いですカラーやカットの相談、その後のスタイリングも丁寧で教えてくれます。,F店
女性,40代,パート・アルバイト,カット＋縮毛矯正＋クイックトリートメント カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,いつも同じスタイリストさんにやっていただき、綺麗にしてもらっています。日曜日だったのですが、サロンが個室タイプなので、静かでゆっくりできました。髪の痛みもボリュームも落ち着いて大満足です。,F店
女性,50代,主婦,☆カット＋カラー＋ハホニコトリートメント　12900→8900 カット、カラー、トリートメント,カット、カラー、トリートメント,いつも通りに、楽しく癒しの時間になりました。白髪もなくなり、髪の毛もサラサラになり大満足です。また来年、伺いますので宜しくお願いします！,F店
女性,30代前半,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,相談をしながら丁寧に施術していただきました。髪が軽くなり、ドライヤーも幾分楽になった気がします。ありがとうございます。またよろしくお願いいたします。,F店
女性,50代,会社員,似合わせデザインカット＋クイックトリートメント カット、トリートメント、ヘッドスパ,カット、トリートメント、ヘッドスパ,久々、ヘッドスパ。癒されました♪カットも前回と同じにしてもらい、とても満足しました。,F店
女性,50代,パート・アルバイト,カット＋カラー＋コスメパーマ＋クイックトリートメント カット、カラー、パーマ、トリートメント,カット、カラー、パーマ、トリートメント,いつも思った通りに仕上げていただけてとても満足しています。これまで、なかなか納得のいく美容室を見つけられずにいたのでとても嬉しいです。セットやお手入れの仕方も教えていただけてありがたいです。またよろしくお願い致します。,F店
男性,30代前半,会社員,メンズカット＋シャンプー＋ブロー カット,カット,いつも、カットの仕上がりについて丁寧に確認して下さり、要望に応えて頂けるので、とても信頼しています。お話を聴くのも話すのもお上手で、心身ともにリフレッシュされました。,F店
女性,20代前半,,似合わせデザインカット＋クイックトリートメント カット、トリートメント,カット、トリートメント,トリートメントで悩んでいたのですが、丁寧に案内して下さり良かったです。シャンプーで移動しなくて良いのも良かった！,F店
女性,20代後半,,クーポン利用なし 縮毛矯正,縮毛矯正,3日目くらいから既に矯正が取れてきてしまい、ボリュームが出てきてしまいました。別に毛の状態は、かかりが良くない等は言われておらず、下の数センチだけ傷んでいて、それ以外はかけれると言われたので掛けてもらったのですが、ガッカリです。また、席案内をしてくれた女性が、何も会話していないのに、終始ずっと半笑いなのが気になりました。きっと不快に思う方もいるので辞めた方がいいと思います。もう行く事は無いですが、今回はありがとうございました。,F店
